,Area,Locality,Price,Beds,Full-baths,Half-baths,Lot Size
0,,0 Gateway,"Rock Springs, WY 82901",,,,
1,,1003 Winchester Blvd.,"Rock Springs, WY 82901",4,4,,0.21 Acres
2,"3,154",600 Talladega,"Rock Springs, WY 82901",5,3,,
3,"3,076",3239 Spearhead Way,"Rock Springs, WY 82901",4,3,1,"Under 1/2 Acre, "
4,"1,172",522 Emerald Street,"Rock Springs, WY 82901",3,3,,"Under 1/2 Acre, "
5,"1,932",1302 Veteran's Drive,"Rock Springs, WY 82901",4,2,,0.27 Acres
6,"1,676",1021 Cypress Cir,"Rock Springs, WY 82901",4,3,,"Under 1/2 Acre, "
7,"1,344",913 Madison Dr,"Rock Springs, WY 82901",3,2,,"Under 1/2 Acre, "
8,"1,920",1344 Teton Street,"Rock Springs, WY 82901",3,2,,"Under 1/2 Acre, "
9,"1,664",4 Minnies Lane,"Rock Springs, WY 82901",3,2,,2.02 Acres
